epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.58,1.1775,2.33726,1.24378,0.59923,0.23309,0.22689,0.15463,1.08603,1.76719,1.22728,0.000331738,0.000331738,0.0671579
2,205.328,1.11239,1.68504,1.23011,0.60674,0.3686,0.31377,0.21132,1.06531,1.56471,1.22672,0.000656842,0.000656842,0.0341497
3,297.569,1.0883,1.54541,1.24286,0.40512,0.33712,0.2972,0.20299,1.08127,1.58452,1.26303,0.000973695,0.000973695,0.00113318
4,389.855,1.09074,1.48349,1.24615,0.63016,0.36776,0.35777,0.2533,1.0211,1.43483,1.23302,0.000962875,0.000962875,0.000962875
5,482.215,1.04946,1.41132,1.22988,0.64071,0.39987,0.37795,0.26584,1.01098,1.33319,1.23558,0.0009505,0.0009505,0.0009505
6,574.039,1.02303,1.33254,1.2161,0.61817,0.40734,0.37841,0.27551,0.97599,1.33161,1.2181,0.000938125,0.000938125,0.000938125
7,667.204,1.00513,1.2905,1.20763,0.69036,0.39154,0.387,0.27784,0.99434,1.33345,1.21222,0.00092575,0.00092575,0.00092575
8,758.262,1.00864,1.28086,1.21281,0.62943,0.44106,0.41099,0.29782,0.95823,1.27044,1.20502,0.000913375,0.000913375,0.000913375
9,850.752,1.00905,1.26402,1.21439,0.65344,0.44644,0.41555,0.29765,0.97245,1.26066,1.20701,0.000901,0.000901,0.000901
10,943.241,0.99303,1.23153,1.20735,0.6342,0.46444,0.41996,0.3084,0.95821,1.21021,1.2116,0.000888625,0.000888625,0.000888625
11,1043.24,0.99769,1.21019,1.20568,0.50488,0.50376,0.41899,0.30193,0.95615,1.15601,1.21842,0.00087625,0.00087625,0.00087625
12,1134.81,0.9805,1.19789,1.19578,0.51986,0.48277,0.42485,0.30407,0.94584,1.14971,1.20138,0.000863875,0.000863875,0.000863875
13,1224.66,0.97758,1.16105,1.20091,0.53779,0.47222,0.43009,0.31508,0.95415,1.17332,1.20394,0.0008515,0.0008515,0.0008515
14,1318.83,0.95775,1.14814,1.18558,0.62333,0.4911,0.46409,0.34416,0.9408,1.13066,1.19238,0.000839125,0.000839125,0.000839125
15,1412.57,0.96523,1.13396,1.19175,0.63055,0.46328,0.46764,0.34736,0.95869,1.13303,1.21202,0.00082675,0.00082675,0.00082675
16,1503.06,0.95876,1.12184,1.18715,0.64102,0.46744,0.47173,0.34651,0.93022,1.09956,1.19715,0.000814375,0.000814375,0.000814375
17,1595.14,0.9533,1.0893,1.18461,0.55314,0.48632,0.45158,0.3312,0.93015,1.09808,1.20241,0.000802,0.000802,0.000802
18,1687.57,0.94775,1.0965,1.18602,0.58006,0.50625,0.46992,0.34968,0.91991,1.07423,1.19175,0.000789625,0.000789625,0.000789625
19,1779.1,0.94537,1.09169,1.18203,0.66576,0.47746,0.46992,0.34747,0.96076,1.17081,1.21212,0.00077725,0.00077725,0.00077725
20,1872.33,0.93307,1.07159,1.16909,0.644,0.47462,0.46796,0.34648,0.92198,1.07386,1.20188,0.000764875,0.000764875,0.000764875
21,1964.25,0.93776,1.05909,1.17366,0.5978,0.47294,0.46721,0.34237,0.92933,1.08524,1.19164,0.0007525,0.0007525,0.0007525
22,2053.69,0.93278,1.02772,1.1684,0.59114,0.50208,0.48545,0.35793,0.92384,1.05407,1.19136,0.000740125,0.000740125,0.000740125
23,2146.99,0.92219,1.01883,1.16854,0.65238,0.49558,0.49489,0.3748,0.91586,1.06305,1.19578,0.00072775,0.00072775,0.00072775
24,2239.13,0.91581,1.0041,1.16137,0.65413,0.49018,0.48003,0.36006,0.92252,1.04776,1.20252,0.000715375,0.000715375,0.000715375
25,2329.63,0.91482,0.99957,1.16861,0.50621,0.4944,0.49447,0.3763,0.91303,1.04648,1.19065,0.000703,0.000703,0.000703
26,2422.91,0.91225,0.99068,1.15969,0.63517,0.4952,0.51051,0.3838,0.93347,1.03887,1.20291,0.000690625,0.000690625,0.000690625
27,2516.54,0.90836,0.98203,1.15785,0.63292,0.48085,0.49038,0.36538,0.93436,1.02572,1.20116,0.00067825,0.00067825,0.00067825
28,2605.99,0.90938,0.95772,1.15536,0.63851,0.48654,0.47887,0.35746,0.91484,1.04767,1.19451,0.000665875,0.000665875,0.000665875
29,2697.33,0.89753,0.94665,1.1494,0.62378,0.49016,0.48202,0.36666,0.92342,1.02268,1.21487,0.0006535,0.0006535,0.0006535
30,2788.26,0.90288,0.95978,1.15394,0.59194,0.50872,0.49723,0.37291,0.90867,1.00175,1.18472,0.000641125,0.000641125,0.000641125
31,2880.28,0.89542,0.94457,1.1495,0.70537,0.4909,0.49804,0.37381,0.91077,0.99897,1.18986,0.00062875,0.00062875,0.00062875
32,2969.95,0.89614,0.93753,1.14737,0.62911,0.48495,0.50084,0.37683,0.90373,1.01478,1.19464,0.000616375,0.000616375,0.000616375
33,3061.63,0.89845,0.92472,1.14648,0.62459,0.53149,0.50953,0.38813,0.89067,0.97793,1.18309,0.000604,0.000604,0.000604
34,3154.32,0.88219,0.90247,1.13908,0.64789,0.49507,0.49439,0.36991,0.89986,0.96921,1.18048,0.000591625,0.000591625,0.000591625
35,3246.63,0.88258,0.903,1.134,0.61367,0.53781,0.5169,0.38872,0.90909,1.01557,1.19,0.00057925,0.00057925,0.00057925
36,3337.25,0.86606,0.88981,1.1301,0.64706,0.48162,0.49548,0.36761,0.92318,1.01952,1.20148,0.000566875,0.000566875,0.000566875
37,3428.14,0.8721,0.88359,1.12673,0.60807,0.53334,0.50645,0.3788,0.92075,1.04242,1.19268,0.0005545,0.0005545,0.0005545
38,3519.49,0.86903,0.86189,1.12703,0.63483,0.51299,0.5045,0.38065,0.89888,1.00887,1.19388,0.000542125,0.000542125,0.000542125
39,3611.02,0.86718,0.86182,1.12772,0.64014,0.49765,0.51237,0.38732,0.90396,1.04088,1.19489,0.00052975,0.00052975,0.00052975
40,3700.39,0.86372,0.85021,1.12435,0.6763,0.49558,0.50484,0.37889,0.91295,0.98893,1.1892,0.000517375,0.000517375,0.000517375
41,3791.83,0.8569,0.83347,1.11349,0.63244,0.52123,0.51539,0.39256,0.88496,0.98043,1.1787,0.000505,0.000505,0.000505
42,3884.32,0.85568,0.83744,1.11919,0.65645,0.52475,0.51375,0.39122,0.89314,0.99093,1.17759,0.000492625,0.000492625,0.000492625
43,3975.15,0.85449,0.82738,1.12201,0.5124,0.55136,0.50929,0.38593,0.90318,0.98523,1.18617,0.00048025,0.00048025,0.00048025
44,4064.85,0.85029,0.82462,1.11329,0.60501,0.52311,0.50629,0.38203,0.89261,0.98446,1.18806,0.000467875,0.000467875,0.000467875
45,4157.38,0.85584,0.82301,1.11812,0.56457,0.54312,0.49625,0.37148,0.90426,1.0018,1.18797,0.0004555,0.0004555,0.0004555
46,4249.19,0.84566,0.81395,1.1123,0.69485,0.4916,0.51363,0.39058,0.89582,0.98334,1.18834,0.000443125,0.000443125,0.000443125
47,4340.71,0.84934,0.81005,1.11138,0.65287,0.52492,0.51838,0.38909,0.90262,0.9813,1.19859,0.00043075,0.00043075,0.00043075
48,4430.19,0.83808,0.7995,1.10408,0.63663,0.51193,0.51919,0.39328,0.898,0.99117,1.1926,0.000418375,0.000418375,0.000418375
